,0
0,True
1,True
2,True
3,True
4,True
5,True
6,True
7,True
8,True
9,True
10,True
11,True
12,True
13,False
14,True
15,True
16,True
17,True
18,True
19,True
20,True
21,True
22,True
23,True
24,True
25,True
26,True
27,True
28,True
29,True
30,True
31,True
32,True
33,True
34,True
35,True
36,True
37,True
38,True
39,True
40,True
41,True
42,True
43,True
44,True
45,True
46,True
47,False
48,False
49,True
50,True
51,True
52,True
53,True
54,False
55,True
56,True
57,True
58,False
59,True
60,True
61,True
62,True
63,True
64,False
65,True
66,True
67,True
68,True
69,True
70,False
71,False
72,True
73,True
74,True
75,True
76,True
77,False
78,False
79,False
80,False
81,False
82,False
83,False
84,False
85,True
86,True
87,True
88,True
89,True
90,True
91,False
92,False
93,True
94,True
95,True
96,False
97,True
98,False
99,False
100,False
101,False
102,False
103,False
104,False
105,False
106,True
107,True
108,True
109,True
110,True
111,True
112,True
113,False
114,False
115,True
116,True
117,True
118,True
119,True
120,True
121,True
122,True
123,False
124,True
125,True
126,True
127,False
128,False
129,False
130,True
131,False
132,True
133,False
134,True
135,False
136,False
137,True
138,True
139,True
140,True
141,True
142,True
143,True
144,True
145,False
146,True
147,False
148,True
149,False
150,True
151,True
152,True
153,True
154,False
155,True
156,True
157,True
158,True
159,True
160,True
161,True
162,True
163,False
164,True
165,True
166,False
167,True
168,True
169,True
170,False
171,True
172,False
173,True
174,True
175,True
176,False
177,True
178,True
179,True
180,True
181,True
182,True
183,False
184,False
185,False
186,False
187,False
188,True
189,False
190,False
191,False
192,True
193,True
194,False
195,True
196,True
197,False
198,True
199,True
200,True
201,True
202,True
203,True
204,True
205,True
206,True
207,True
208,True
209,False
210,True
211,True
212,True
213,True
214,True
215,False
216,True
217,True
218,False
219,False
220,False
221,False
222,False
223,True
224,False
225,True
226,False
227,True
228,False
229,True
230,True
231,True
232,True
233,False
234,True
235,False
236,True
237,True
238,True
239,True
240,True
241,True
242,True
243,True
244,True
245,True
246,True
247,True
248,False
249,True
250,True
251,True
252,True
253,True
254,True
255,True
256,True
257,True
258,True
259,True
260,True
261,True
262,True
263,True
264,True
265,False
266,False
267,False
268,False
269,False
270,False
271,True
272,False
273,True
274,True
275,True
276,True
277,True
278,True
279,True
280,True
281,True
282,True
283,True
284,True
285,False
286,True
287,False
288,False
289,False
290,True
291,False
292,False
293,True
294,False
295,True
296,True
297,True
298,True
299,False
300,True
301,True
302,True
303,True
304,True
305,False
306,True
307,True
308,True
309,True
310,True
311,True
312,True
313,True
314,True
315,True
316,True
317,True
318,False
319,False
320,True
321,True
322,True
323,True
324,True
325,True
326,True
327,True
328,True
329,True
330,True
331,True
332,True
333,False
334,True
335,True
336,False
337,False
338,True
339,False
340,False
341,True
342,True
343,True
344,True
345,True
346,True
347,True
348,True
349,True
350,False
351,True
352,False
353,False
354,True
355,False
356,False
357,False
358,True
359,True
360,False
361,True
362,True
363,True
364,True
365,True
366,True
367,True
368,False
369,True
370,True
371,False
372,True
373,True
374,True
375,False
376,True
377,False
378,True
379,True
380,True
381,True
382,True
383,True
384,True
385,True
386,True
387,True
388,True
389,True
390,False
391,False
392,True
393,False
394,False
395,True
396,True
397,True
398,True
399,True
400,True
401,False
402,False
403,False
404,True
405,False
406,False
407,True
408,True
409,True
410,True
411,True
412,True
413,True
414,True
415,True
416,True
417,True
418,True
419,True
420,True
421,True
422,True
423,True
424,False
425,True
426,True
427,True
428,True
429,True
430,True
431,True
432,True
433,True
434,True
435,True
436,True
437,True
438,True
439,True
440,True
441,True
442,True
443,True
444,True
445,True
446,False
447,True
448,True
449,False
450,True
451,True
452,False
453,True
454,True
455,True
456,True
457,False
458,True
459,True
460,True
461,True
462,False
463,True
464,False
465,False
466,True
467,False
468,True
469,True
470,True
471,True
472,True
473,True
474,True
475,True
476,False
477,True
478,False
479,False
480,True
481,False
482,True
483,True
484,True
485,True
486,True
487,True
488,False
489,True
490,True
491,True
492,True
493,True
494,True
495,True
496,True
497,True
498,False
499,False
500,False
501,True
502,True
503,True
504,False
505,True
506,True
507,False
508,True
509,False
510,True
511,False
512,False
513,True
514,False
515,True
516,True
517,True
518,True
519,True
520,True
521,True
522,True
523,True
524,False
525,False
526,True
527,True
528,True
529,True
530,True
531,True
532,True
533,True
534,True
535,False
536,True
537,False
538,True
539,True
540,True
541,False
542,False
543,False
544,True
545,True
546,True
547,True
548,False
549,False
550,True
551,True
552,True
553,False
554,True
555,True
556,True
557,False
558,True
559,True
560,False
561,False
562,False
563,True
564,True
565,True
566,True
567,True
568,False
569,False
570,False
571,True
572,True
573,True
574,False
575,False
576,True
577,True
578,True
579,True
580,True
581,True
582,False
583,False
584,True
585,False
586,True
587,True
588,True
589,False
590,True
591,False
592,True
593,True
594,True
595,True
596,True
597,True
598,True
599,True
600,True
601,True
602,False
603,True
604,True
605,True
606,True
607,True
608,True
609,True
610,True
611,True
612,True
613,True
614,True
615,True
616,True
617,True
618,False
619,False
620,True
621,True
622,True
623,True
624,True
625,True
626,True
627,False
628,True
629,False
630,False
631,False
